,Year/Budget,MEPFS aspect,Fire alarm system,Panelboard,Lighting fixtures,Conduits,Sewer Line works,Plumbing fixtures,Wires,,,,,,,,,,,,,,,,
"Project 1: 4 STY 8 CL Malolos, Bulacan","2017: 12,723,976.07",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 6: 2 STY 12 CL Trento, Agusan del Sur",2018: 27539557.48,quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 10: 2 STY 10 CL Sagbayan, Bohol","20//: 20,622,505.73",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 11: 2 STY 2 CL Santa Maria, Bulacan","2024: 9,845,122.86",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 12: 1 STY 2 CL Caba, La Union","2024: 9,845,122.86",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
Project 13: 3 STY 15 CL Davao,"2018: 42,652,727.59",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 14: 3 STY 15 CL Dapitan, Zamboanga del Norte","2017: 12,976,092.09",quantity ,0.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 15: 1 STY 2 CL Virac, Catanduanes","2017: 2,692,467.18",quantity ,0.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 16: 2 STY 4 CL IGACOS, Davao del Norte","2018: 9,581,051.78",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 18: 1 STY 1 CL Tandag City, Surigao del Sur","2018: 3,373,734.87",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 19: 4 STY 8 CL Tandag City, Surigao del Sur","2024: 24,603,184.34",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
Project 22: 2 STY 6 CL Misamis Oriental ,"2023: 22,565,635.92",quantity ,0.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
Project 23: 1 STY 2 CL Misamis Oriental ,"2024: 6,732,123.10",quantity ,0.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 26: 1 STY 2 CL Las Navas, Northern Samar","2024: 5,967,992.82",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
Project 27: 4 STY 12 CL Consolacion Cebu,"2024: 24,782,396.29",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 29: 1 STY 2 CL Canlaon, Negros Oriental W/ CR","2024: 5,456,718.16",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
Project 31: 2 STY 12 CL Magallanes Sorsogon ,"2024: 62,332,762.35",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
Project 32: 2 STY 12 CL Casiguran Sorsogon ,"2024: 62,172,175.91",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
Project 33: 2 STY 4 CL Bacacy/Malilipot Albay,"2024: 38,605,670.21",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
Project 34: 1 STY 2 CL Dasol Pangasinan,"2024: 5,853,469.15",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
Project 35: 4 STY 16 CL Dasol Pangasinan,"2024: 47,846,905.84",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 36: 4 STY 12 CL San Nicolas, Ilocos Norte","2024: 39,394,161.38",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 37: 2 STY 8 CL Guinobatan, Albay","2024: 35,733,936.48",quantity ,0.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
Project 38: 2 STY 6 CL Alangalang Leyte,"2023: 16,377,168.67",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 39: 1 STY 2 CL Sipalay, Negros Occidental ","2023: 4,992,477.72",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 40: 2 STY 4 CL Pilar, Sorsogon ","2023: 17,939,932.19",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 40: 2 STY 4 CL Pilar, Sorsogon ","2023: 17,939,815.37",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 41: 2 STY 4 CL Panganiban, Camarines Norte ","2023: 18,426,577.63",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Projec 45: 2 STY 4 CL Guinlajon, Sorsogon CIty","2020: 14,296,869.78",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Projec 45: 2 STY 4 CL Guinlajon, Sorsogon CIty","2020: 12,681,800.48",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 47: 1 STY 2 CL, Palo Leyte","2018: 3,868,683.94",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 49: 1 STY 2 CL Tinglayan, Kalinga","2018: 3,660,269.09",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
Project 50: 2 STY 8 CL Iligan City,"2017: 16,092,682.98",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 51: 2 STY 6 CL Tubod, Lanao del Norte","2017: 11,765,881.04",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 52: 2 STY 6 CL Baroy, Lanao del Norte","2017: 11,761,387.11",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 53: 2 STY 6 CL San Juan, Siquijor","2017: 11,996,863.21",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 56: 4 STY 8 CL Lipa City, Batangas","2017: 17,061,708",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
