,Year/budget,MEPFS aspect,Fire alarm system,Panelboard,Lighting fixtures,Conduits,Sewer Line works,Plumbing fixtures,Wires
"Project 1: 4 STY 8 CL Malolos, Bulacan","2017: 12,723,976.07",unit cost,"19,102.470","140,110.000","17,540.000","68,185.000","273,950.000","293,588.000","165,726.000"
"Project 6: 2 STY 12 CL Trento, Agusan del Sur",2018: 27539557.48,unit cost,"34,147.470","273,274.680","138,725.580","122,159.670","61,858.180","408,950.960","165,726.000"
"Project 10: 2 STY 10 CL Sagbayan, Bohol","20//: 20,622,505.73",unit cost,"55,610.470","75,996.000","206,114.400","93,508.800","74,635.500","352,414.630","333,087.600"
"Project 11: 2 STY 2 CL Santa Maria, Bulacan","2024: 9,845,122.86",unit cost,"55,610.470","267,909.360","68,196.000","168,247.040","74,635.500","140,117.060","251,111.250"
"Project 12: 1 STY 2 CL Caba, La Union","2024: 9,845,122.86",unit cost,-,"14,757.000","31,756.000","44,899.000","28,806.000","120,000.000","40,246.000"
Project 13: 3 STY 15 CL Davao,"2018: 42,652,727.59",unit cost,"41,713.000","162,500.000","375,000.000","400,000.000","145,335.000","366,203.000","1,437,500.000"
"Project 14: 3 STY 15 CL Dapitan, Zamboanga del Norte","2017: 12,976,092.09",unit cost,"48,805.850","63,995.020","88,565.020","32,835.350","148,652.190","84,030.630","43,110.520"
"Project 15: 1 STY 2 CL Virac, Catamduanes","2017: 2,692,467.18",unit cost,,"2,679.860","26,152.880","9,395.660",,"152,397.000","19,243.350"
"Project 16: 2 STY 4 CL IGACOS, Davao del Norte","2018: 9,581,051.78",unit cost,-,"110,700.000","77,490.000","80,471.490","86,100.000","88,400.000","86,715.000"
"Project 18: 1 STY 1 CL Tandag City, Surigao del Sur","2018: 3,373,734.87",unit cost,-,"6,825.000","21,172.740","17,786.020","8,527.310","98,832.560","41,358.190"
"Project 19: 4 STY 8 CL Tandag City, Surigao del Sur","2024: 24,603,184.34",unit cost,"56,181.880","6,825.000","98,371.880","45,441.380","207,550.880","181,293.000","102,401.250"
