Year,Budget,Fire alarm system,Panelboard,Lighting fixtures,Conduits,Sewer Line works,Plumbing fixtures,Wires
2017,12723976.07,19102.47,140110.0,17540.0,68185.0,273950.0,293588.0,165726.0
2000,20622505.73,55610.47,75996.0,206114.4,93508.8,74635.5,352414.63,333087.6
2024,9845122.86,55610.47,267909.36,68196.0,168247.04,74635.5,140117.06,251111.25
2024,9845122.86,0.0,14757.0,31756.0,44899.0,28806.0,120000.0,40246.0
2018,42652727.59,41713.0,162500.0,375000.0,400000.0,145335.0,366203.0,1437500.0
2017,12976092.09,0.0,63995.02,88565.02,32835.35,148652.19,84030.63,43110.52
2018,9581051.78,0.0,110700.0,77490.0,80471.49,86100.0,88400.0,86715.0
2018,3373734.87,0.0,6825.0,21172.74,17786.02,8527.31,98832.56,41358.19
2024,24603184.34,56181.88,6825.0,98371.88,45441.38,207550.88,181293.0,102401.25
2023,22565635.92,0.0,155898.0,123606.0,105777.0,86940.0,111132.0,159390.0
2024,6732123.1,0.0,11942.34,58963.32,20954.18,122001.75,54284.49,37423.09
2024,5967992.82,0.0,16804.56,21870.83,34200.67,122216.6,14124.6,101965.98
2024,24782396.29,0.0,23057.76,128368.56,200748.32,213817.91,408881.37,496376.76
2024,5456718.16,32725.0,47600.0,32725.0,47600.0,65450.0,33320.0,178500.0
2024,62332762.35,36896.18,343569.74,140384.9,154772.16,95905.29,292484.98,388899.05
2024,62172175.91,35071.0,328682.0,132846.0,147069.0,92082.0,284549.0,374971.0
2024,38605670.21,142780.05,66490.2,274251.6,161912.84,106630.65,156010.37,163779.84
2024,5853469.15,142780.05,66490.2,274251.6,161912.84,106630.65,156010.37,163779.84
2024,47846905.84,68452.52,93227.27,210646.62,156072.14,149932.88,504113.27,173728.61
2024,39394161.38,1044225.0,977812.5,1092000.0,860606.25,1289400.0,1201725.0,952087.5
2024,35733936.48,0.0,310464.0,398160.0,163800.0,115920.0,165060.0,1045800.0
2023,16377168.67,6695.64,59187.95,128109.95,72126.66,49485.85,156178.1,135607.98
2023,4992477.72,0.0,5258.57,5258.57,5258.57,438.21,5258.57,5258.57
2023,17939932.19,58716.0,58716.0,65016.0,46116.0,46116.0,58716.0,109116.0
2023,17939932.19,58716.0,58716.0,63000.0,46116.0,46116.0,58716.0,109116.0
2023,17939815.37,58716.0,58716.0,65016.0,46116.0,46116.0,58716.0,109116.0
2023,17939815.37,58716.0,58716.0,63000.0,46116.0,46116.0,58716.0,109116.0
2023,18426577.63,29463.0,49371.02,74825.77,47397.0,39711.0,204960.0,85827.0
2020,14296869.78,31752.0,310464.0,398160.0,163800.0,115920.0,165060.0,1045800.0
2020,14296869.78,26815.03,33038.99,71499.57,46562.97,29258.15,234209.62,78676.59
2020,12681800.48,31752.0,310464.0,398160.0,163800.0,115920.0,165060.0,1045800.0
2020,12681800.48,26815.03,33038.99,71499.57,46562.97,29258.15,234209.62,78676.59
2018,3868683.94,0.0,16503.46,31653.53,17452.34,20215.3,56418.96,70685.82
2018,3660269.09,0.0,7428.75,33258.75,24240.56,18654.06,0.0,45237.94
2017,16092682.98,174670.16,8895.88,25926.4,13901.52,40825.41,8728.63,30132.81
