Project,Year,Budget,Gross floor area (Cement floor finish),Gross floor area (unglazed tiles),"gross floor area  (cement floor finish, groove)",Number of floors,Grade 40,Grade 60,Number of rooms,Volume of structural concrete (cu.m.) wall footing/septic vault/stiffners CLASS A 28 DAYS / Lean Concrete,Volume of structural concrete (cu.m.) footings on fill CLASS A 28 DAYS,Volume of structural concrete (cu.m.) footing tie beams CLASS A 28 DAYS,Volume of structural concrete (cu.m.) columns CLASS A 28 DAYS,Volume of structural concrete (cu.m.) suspended slab CLASS A 28 DAYS,Volume of structural concrete (cu.m.) beams/girders CLASS A 28 DAYS,Volume of structural concrete (cu.m.) 3000 PSI  CLASS A 28 DAYS,Volume of structural concrete (cu.m.)  CLASS A 14 DAYS,Volume of structural concrete (cu.m.)  CLASS A 28 DAYS,Volume of structural concrete (cu.m.)  CLASS A 28 DAYS 4000 PSI,Volume of structural concrete (cu.m.)  CLASS B 28 DAYS,Volume of structural concrete (cu.m.)  CLASS AA 400 PSI @ 28 days,Volume of structural concrete (cu.m.)  CLASS A/B 2500 psi 28 days / Reimforced concrete,Area of formworks (sq.m.),Types of footings/foundation,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50
"4 STY 8 CLS Malolos, Bulacan",2017,12723976.07,751550.2864,2480.0399999999995,0.0,16.0,5811035769.022499,0.0,64.0,175.0329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222774.5601,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2 STY 12 CLS Trento, Agusan del Sur",2018,,1478656.0,9888.3136,0.0,4.0,10984586902.464401,0.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409100.9521,0.0,0.0,0.0,0.0,532316.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2 STY 10 CLS Sagbayan, Bohol",2000,20622505.73,1000400.04,2568.4624,0.0,4.0,4175431645.0564003,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153624.8025,0.0,0.0,0.0,0.0,4952138.115600001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2 STY 2 CLS Santa Maria, Bulacan",2024,9845122.86,29241.0,29241.0,0.0,4.0,140459000.37160003,181928571.8481,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10633.734400000001,0.0,0.0,0.0,0.0,0.0,664339.1049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"1 STY 2 CLS Caba, La Union",2024,9845122.86,38935.1824,12.96,0.0,1.0,55849017.168400005,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2104.9744,0.0,0.0,0.0,0.0,67558.4064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3 STY 15 CLS Davao,2018,42652727.59,3866492.9955999996,7558.5635999999995,0.0,9.0,2114070280.1603997,7052242340.416901,225.0,461.8200999999999,90186.0961,1727.2336000000003,16294.522500000001,11800.4769,17181.966400000005,0.0,0.0,0.0,0.0,0.0,0.0,782.8804,12951649.345600002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"3 STY 15 CLS Dapitan, Zamboanga del Norte",2017,12976092.09,2170789.6895999997,6617.822499999999,0.0,9.0,161447264.3161,0.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34785.98009999999,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"1 STY 2 CLS Virac, Catamduanes",2017,2692467.18,22195.040399999998,0.0,0.0,1.0,61527080.9664,0.0,4.0,0.0,4180.915599999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2 STY 4 CLS IGACOS, Davao del Norte",2018,9581051.78,190969.0,729.0,0.0,4.0,644474382.25,0.0,16.0,0.0,3742.9924,271.92009999999993,608.6089000000001,1516.3235999999997,771.7284000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"1 STY 1 CLS Tandag City, Surigao del Sur",2018,3373734.87,3969.0,54.022499999999994,0.0,1.0,37446444.42250001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,354.5688999999999,0.0,666.6724,0.0,0.0,0.0,0.0,13921.640099999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"4 STY 8 CLS Tandag City, Surigao del Sur",2024,24603184.34,238534.55999999997,2729.0176,0.0,16.0,6786841705.644099,0.0,64.0,0.0,21871.452099999995,0.0,0.0,0.0,0.0,0.0,0.0,75713.02560000001,0.0,0.0,0.0,0.0,603526.9969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2 STY 6 CLS Misamis Oriental,2023,22565635.92,386946.20249999996,1824.1441,0.0,4.0,106425839.36410002,1117000672.8335998,36.0,0.0,0.0,0.0,0.0,0.0,0.0,1273.7760999999998,0.0,0.0,36427.539600000004,0.0,0.0,0.0,2598576.2401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 STY 2 CLS Misamis Oriental,2024,6732123.1,43122.675599999995,43.824400000000004,0.0,1.0,201590870.9929,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1406.25,0.0,144.96159999999998,0.0,465.2649,0.0,0.0,333725.73610000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"1 STY 2 CLS Las Navas, Northern Samar",2024,5967992.82,29241.0,0.0,0.0,1.0,109620900.0,19140625.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5184.0,0.0,0.0,0.0,0.0,212521.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4 STY 12 CLS Consolacion Cebu,2024,24782396.29,632263.5225,4890.204900000001,0.0,16.0,1104784586.89,4084730961.61,144.0,0.0,0.0,0.0,0.0,0.0,0.0,211.99360000000001,0.0,0.0,151250.98810000002,0.0,0.0,0.0,970205.3001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
