Project,Year,Budget,Gross floor area (Cement floor finish),Gross floor area (unglazed tiles),"gross floor area  (cement floor finish, groove)",Number of floors,Grade 40,Grade 60,Number of rooms,Volume of structural concrete (cu.m.) wall footing/septic vault/stiffners CLASS A 28 DAYS / Lean Concrete,Volume of structural concrete (cu.m.) footings on fill CLASS A 28 DAYS,Volume of structural concrete (cu.m.) footing tie beams CLASS A 28 DAYS,Volume of structural concrete (cu.m.) columns CLASS A 28 DAYS,Volume of structural concrete (cu.m.) suspended slab CLASS A 28 DAYS,Volume of structural concrete (cu.m.) beams/girders CLASS A 28 DAYS,Volume of structural concrete (cu.m.) 3000 PSI  CLASS A 28 DAYS,Volume of structural concrete (cu.m.)  CLASS A 14 DAYS,Volume of structural concrete (cu.m.)  CLASS A 28 DAYS,Volume of structural concrete (cu.m.)  CLASS A 28 DAYS 4000 PSI,Volume of structural concrete (cu.m.)  CLASS B 28 DAYS,Volume of structural concrete (cu.m.)  CLASS AA 400 PSI @ 28 days,Volume of structural concrete (cu.m.)  CLASS A/B 2500 psi 28 days / Reimforced concrete,Area of formworks (sq.m.),Types of footings/foundation,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50
"4 STY 8 CLS Malolos, Bulacan",2017,12723976.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2 STY 12 CLS Trento, Agusan del Sur",2018,,476769.27999999997,168030.72879999998,0.0,0.0,7793476.7768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3668240.1032,0.0,0.0,0.0,0.0,461399.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2 STY 10 CLS Sagbayan, Bohol",2000,20622505.73,359071.8,82811.12,0.0,0.0,4975553.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2861235.0,0.0,0.0,0.0,0.0,952445.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2 STY 2 CLS Santa Maria, Bulacan",2024,9845122.86,67649.31,346037.31,0.0,0.0,860421.804,996904.7319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1071725.1288,0.0,0.0,0.0,0.0,0.0,1238759.6874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"1 STY 2 CLS Caba, La Union",2024,9845122.86,69259.31999999999,7484.400000000001,0.0,0.0,523125.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338319.12,0.0,0.0,0.0,0.0,184543.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3 STY 15 CLS Davao,2018,42652727.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3 STY 15 CLS Dapitan, Zamboanga del Norte",2017,12976092.09,402536.68559999997,102837.789,0.0,0.0,832128.3831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1309283.4141,0.0,0.0,0.0,0.0,149938.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"1 STY 2 CLS Virac, Catamduanes",2017,2692467.18,39843.2112,0.0,0.0,0.0,819924.9576,0.0,0.0,0.0,470859.2928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255658.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2 STY 4 CLS IGACOS, Davao del Norte",2018,9581051.78,233502.21000000002,35161.83,0.0,0.0,1674239.675,0.0,0.0,0.0,959482.2692,240995.57849999997,180968.5119,345323.0352,322119.1008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207200.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"1 STY 1 CLS Tandag City, Surigao del Sur",2018,3373734.87,27352.08,10507.412999999999,0.0,0.0,878249.1120000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158309.8356,0.0,0.0,0.0,0.0,0.0,0.0,93975.4953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
