,,Structural aspect,Gross floor area (Cement floor finish),Gross floor area (unglazed tiles),"gross floor area  (cement floor finish, groove)",Number of floors,Grade 40,Grade 60,Number of rooms,Volume of structural concrete (cu.m.) wall footing/septic vault/stiffners CLASS A 28 DAYS / Lean concrete,Volume of structural concrete (cu.m.) footings on fill CLASS A 28 DAYS,Volume of structural concrete (cu.m.) footing tie beams CLASS A 28 DAYS,Volume of structural concrete (cu.m.) columns CLASS A 28 DAYS,Volume of structural concrete (cu.m.) suspended slab CLASS A 28 DAYS,Volume of structural concrete (cu.m.) beams/girders CLASS A 28 DAYS,Volume of structural concrete (cu.m.) 3000 PSI  CLASS A 28 DAYS,Volume of structural concrete (cu.m.)  CLASS A 14 DAYS,Volume of structural concrete (cu.m.)  CLASS A 28 DAYS,Volume of structural concrete (cu.m.)  CLASS A 28 DAYS 4000 PSI,Volume of structural concrete (cu.m.)  CLASS B 28 DAYS,Volume of structural concrete (cu.m.)  CLASS AA 4000 PSI @ 28 days,Volume of structural concrete (cu.m.)  CLASS A/B 2500 psi 28 days / Reimforced concrete,Area of formworks (sq.m.),Types of footings/foundation
"Project 1: 4 STY 8 CL Malolos, Bulacan (lean and reinforcing concrete)","2017: 12,723,976.07",unit cost,280.000,1439.000,,-,49.040,,-,3564.000,-,-,-,-,-,,,,,,,4281.000,1279724.000,
"Project 6: 2 STY 12 CL Trento, Agusan del Sur",2018: 27539557.48,unit cost,392.080,1689.770,,-,74.360,,-,,,,,,,,,5735.120,,,,,632.400,
"Project 10: 2 STY 10 CL Sagbayan, Bohol","20//: 20,622,505.73",unit cost,359.000,1634.000,,-,77.000,,-,,,,,,,,,7300.000,,,,,428.000,
"Project 11: 2 STY 2 CL Santa Maria, Bulacan","2024: 9,845,122.86",unit cost,395.610,2023.610,,-,72.600,73.910,-,,,,,,,,10392.990,,,,,,1519.820,
"Project 12: 1 STY 2 CL Caba, La Union","2024: 9,845,122.86",unit cost,351.000,2079.000,,-,70.000,,-,,,,,,,,,7374.000,,,,,710.000,
Project 13: 3 STY 15 CL Davao (lean concrete),"2018: 42,652,727.59",unit cost,353.000,1260.000,,-,67.000,79.000,-,6432.000,7102.000,7463.000,8976.000,8972.000,9138.000,,,,,,,7441.000,606.000,
"Project 14: 3 STY 15 CL Dapitan, Zamboanga del Norte","2017: 12,976,092.09",unit cost,273.210,1264.140,,-,65.490,,-,,,,,,,,,7019.910,,,,,149938.430,
"Project 15: 1 STY 2 CL Virac, Catamduanes","2017: 2,692,467.18",unit cost,267.440,-,,-,104.530,,-,,7282.080,7282.080,7282.080,7282.080,7282.080,,,,,,,,255658.880,
"Project 16: 2 STY 4 CL IGACOS, Davao del Norte","2018: 9,581,051.78",unit cost,534.330,1302.290,,-,65.950,,-,,15682.940,14614.650,7335.570,8868.080,11595.360,,,,,,,,207200.410,
"Project 18: 1 STY 1 CL Tandag City, Surigao del Sur","2018: 3,373,734.87",unit cost,434.160,1429.580,,-,143.520,,-,,7664.500,,,,,8407.320,,,,,,,796.470,
"Project 19: 4 STY 8 CL Tandag City, Surigao del Sur","2024: 24,603,184.34",unit cost,404.190,1387.820,,-,134.760,,-,,7171.670,,,,,,,8074.340,,,,,578.160,
Project 22: 2 STY 6 CL Misamis Oriental ,"2023: 22,565,635.92",unit cost,1034.810,2244.150,,-,67.240,78.310,-,,,,,,,10833.910,,,9826.290,,,,99.750,
Project 23: 1 STY 2 CL Misamis Oriental ,"2024: 6,732,123.10",unit cost,513.730,2527.960,,-,88.400,,-,,,,,,,8036.980,,9462.930,,8288.280,,,167.370,
"Project 26: 1 STY 2 CL Las Navas, Northern Samar","2024: 5,967,992.82",unit cost,648.980,-,,-,98.280,96.990,-,,-,-,-,-,-,,,13542.460,,,,,865.300,
Project 27: 4 STY 12 CL Consolacion Cebu,"2024: 24,782,396.29",unit cost,491.350,2050.470,,-,101.240,103.710,-,,,,,,,9495.010,,,10324.770,,,,731.720,
"Project 29: 1 STY 2 CL Canlaon, Negros Oriental","2024: 5,456,718.16",298.310,-,-,,-,94.900,,-,,-,-,-,-,-,9255.830,,,,,,,1145.720,
Project 31: 2 STY 12 CL Magallanes Sorsogon ,"2024: 62,332,762.35",unit cost,442.830,1312.820,,-,71.890,72.260,-,,-,-,-,-,-,-,,,10309.280,,,,1479.200,
Project 32: 2 STY 12 CL Casiguran Sorsogon ,"2024: 62,172,175.91",unit cost,442.830,1312.820,,-,70.000,71.000,-,,-,-,-,-,-,-,,,10078.000,,,,1444.000,
Project 33: 2 STY 4 CL Bacacy/Malilipot Albay,"2024: 38,605,670.21",unit cost,409.110,1713.970,,-,68.920,,-,,-,-,-,-,-,7893.530,,,,,,,872.500,
Project 34: 1 STY 2 CL Dasol Pangasinan,"2024: 5,853,469.15",unit cost,416.610,1958.500,,-,70.940,,-,,-,-,-,-,-,6590.730,,,,,,,636.860,
Project 35: 4 STY 16 CL Dasol Pangasinan,"2024: 47,846,905.84",unit cost,392.430,1927.460,,-,68.090,69.170,-,,-,-,-,-,-,-,,6044.500,,,,,715.600,
"Project 36: 4 STY 12 CL San Nicolas, Ilocos Norte","2024: 39,394,161.38",unit cost,381.200,1416.360,,-,105.030,98.610,-,,-,-,-,-,-,4555.320,,,,,,,1179.190,
"Project 37: 2 STY 8 CL Guinobatan, Albay","2024: 35,733,936.48",unit cost,372.670,1566.360,,-,70.450,72.700,-,,,,,,,,,,9655.980,6978.700,,,688.270,
Project 38: 2 STY 6 CL Alangalang Leyte,"2023: 16,377,168.67",unit cost,319.190,2216.650,,-,73.170,74.840,-,,-,-,-,-,-,-,,8742.900,,,,,1612.890,
"Project 39: 1 STY 2 CL Sipalay, Negros Occidental ","2023: 4,992,477.72",unit cost,438.210,438.220,,,87.640,,,,7011.420,7011.430,7011.420,,7011.420,7011.430,,,,,,,788.790,
"Project 40: 2 STY 4 CL Pilar, Sorsogon ","2023: 17,939,932.19",unit cost,506.000,1183.000,,-,81.000,94.000,-,,-,-,-,-,-,-,,,8318.000,,,,254.000,
"Project 41: 2 STY 4 CL Panganiban, Camarines Norte ","2023: 18,426,577.63",unit cost,506.000,1183.000,,-,81.000,94.000,-,,-,-,-,-,-,-,,,8318.000,,,,254.000,
"Project 41: 2 STY 4 CL Panganiban, Camarines Norte ","2023: 18,426,577.63",unit cost,505.920,1242.210,,-,106.110,,-,,-,-,-,-,-,10002.100,,,,,,,743.250,
"Projec 45: 2 STY 4 CL Guinlajon, Sorsogon CIty","2020: 14,296,869.78",unit cost,370.970,1254.640,,,77.390,80.580,,,,,,,,,,,7731.700,,,,670.880,
"Projec 45: 2 STY 4 CL Guinlajon, Sorsogon CIty","2020: 12,681,800.48",unit cost,370.970,1208.720,,,75.810,79.680,,,,,,,,,,,7490.880,,,,666.440,
"Project 47: 1 STY 2 CL, Palo Leyte","2018: 3,868,683.94",unit cost,491.760,1221.470,,,53.840,49.310,,,6057.030,6665.810,7398.590,,,6346.530,,,,,,,223.360,
"Project 49: 1 STY 2 CL Tinglayan, Kalinga","2018: 3,660,269.09",unit cost,477.670,1281.750,,,69.940,,,,8773.270,9140.380,9110.390,,,9122.800,,,,,,,600.140,
Project 50: 2 STY 8 CL Iligan City,"2017: 16,092,682.98",unit cost,173.270,,,,129.610,,,,,,,,,,,8705.420,,,,,1019.350,
"Project 51: 2 STY 6 CL Tubod, Lanao del Norte","2017: 11,765,881.04",unit cost,489.750,,,,59.240,,,,,,,,,,,7511.970,,,,,105.420,
"Project 52: 2 STY 6 CL Baroy, Lanao del Norte","2017: 11,761,387.11",unit cost,189.940,,,,59.550,,,,,,,,,,,7580.240,,,,,702.810,
"Project 53: 2 STY 6 CL San Juan, Siquijor","2017: 11,996,863.21",unit cost,225.530,1383.490,,,82.820,,,,,,,,,,,7363.190,,,,,1877.330,
"Project 56: 4 STY 8 CL Lipa City, Batangas (lean concrete)","2017: 17,061,708",unit cost,147.000,1476.000,,,49.000,,,6386.000,7222.000,10159.000,15180.000,,15791.000,15310.000,,,,,,,-,
"Project 57: 4 STY 16 CL Mandaue City, Cebu","2017: 26,186,759.94",unit cost,13.910,1188.540,1858.150,,59.150,,,5974.240,5974.240,5974.240,5974.240,5974.240,5974.240,,,,,,,,547.710,
Project 60: 2 STY 4 CL Vigan Ilocos Sur,"2019: 10,862,688.30",unit cost,339.650,1743.300,,,63.620,66.270,,,,,,,,,,4838.200,,,,,584.130,
"Project 63: 4 STY 20 CL Belison, Antique","2020: 46,481,067.07",unit cost,354.660,1002.480,,,75.850,78.970,,,,,,,,,,8918.660,,,,,2213752.580,
"Project 64: 3 STY 9 CL San, Joquin, Iloilo (lean concrete)","2018: 14,804,621.77",unit cost,411.320,2467.920,106.940,,61.130,,,6834.240,,,,,,,,6600.940,,,,,246792.000,
"Project 66: 1 STY 2 CL Tandag City, Surigao Del Sur","2024: 4,924,058.92",unit cost,455.000,1444.990,,,144.800,,,,,,,,,8800.750,,8071.700,,,,,677.920,
"Project 67: 3 sty 12 cl sIPALAY ciTY, nEGROS oCCIDENTAL (lean concrete)","2018: 30,144,572.16",unit cost,170.740,1071.110,,,72.230,,,7791.100,,,,,,,,9484.960,,,,,250000.000,
Project 73: 1 STY 3 CL NABAS AKLAN,"2023: 9,184,048.94",unit cost,467.650,1894.630,,,94.890,,,,,,,,,,,9001.670,,,,,383.100,
Project 74: 3 STY 6 CL CEBU CITY,"2018:16,461,811",unit cost,128.000,1691.000,,,61.000,,,,,,,,,,,7586.000,,,,,1034.000,
Project 76: 4 STY 8 CL SANTA ROSA LAGUNA,"2018: 38,845,165",unit cost,415.110,1313.720,,,78.580,79.870,,,,,,,,14066.960,,,14382.030,,,,707.260,
Project 77: 2 STY 6 CL SANTA MARIA BULACAN,"2024: 23,686,235.62",unit cost,394.360,2017.200,,,72.370,73.680,,,,,,,,,10360.100,,,,,,1515.010,
Project 78: 1STY 4 CL PATIKUL SULU,"20//: 9,944,999.11",unit cost,19211.200,1385.700,,,87.800,,,,,,,,,8532.900,,,,,,,1318.300,
Project 79: 4 STY 8 CL CEBU CITY,"2024: 14,915,000.00",unit cost,460.000,2100.000,,,100.000,120.000,,,,,10300.000,10300.000,10300.000,,,9400.000,,,,,600.000,
Project 81: 4 STY 12 CL ANTIPOLO RIZAL,"2024: 39,202,994.03",unit cost,410.950,1726.000,,,80.790,,,,,,,,,,,,9065.140,,,,2086589.610,
