Budget,Area of formworks (sq.m.),Grade 40,Grade 60,Gross floor area (Cement floor finish),Total_Volume_of_Structural_Concrete
20622505.73,952445.52,4975553.66,0.0,359071.8,0.0
9845122.86,1238759.6874,860421.804,996904.7319,67649.31,0.0
9845122.86,184543.2,523125.4,0.0,69259.31999999999,0.0
12976092.09,149938.43,832128.3831,0.0,402536.68559999997,0.0
2692467.18,255658.88,819924.9576,0.0,39843.2112,0.0
9581051.78,207200.41,1674239.675,0.0,233502.21000000002,0.0
3373734.87,93975.4953,878249.1120000001,0.0,27352.08,0.0
24603184.34,449155.1592,11101837.400399998,0.0,197406.39599999998,0.0
22565635.92,160797.9975,693667.3396,2617242.3636,643703.5604999999,0.0
6732123.1,96687.9753,1255127.0680000002,0.0,106681.1718,0.0
5967992.82,398903.3,1028991.6,424331.25,110975.58,0.0
24782396.29,720736.8828,3365045.492,6628303.149,390696.9525,0.0
62332762.35,2344324.912,3137301.8858999996,6695001.7256000005,599795.5218,0.0
62172175.91,2288537.84,3054821.6999999997,6578260.76,599795.5218,0.0
38605670.21,1413223.15,2408032.4076,0.0,82149.288,0.0
5853469.15,485803.17659999995,985562.3259999999,0.0,23413.482000000004,0.0
47846905.84,1228012.536,4231033.6156,10588551.2087,52075.460999999996,0.0
39394161.38,715178.735,3339577.9926,7676433.504,408535.852,0.0
35733936.48,2062139.5124,3180279.262,4600341.8610000005,30655.834200000005,0.0
16377168.67,2065128.2271000003,1138368.6162,3281754.9552,196815.7459,0.0
4992477.72,189877.5288,1192459.6376,0.0,76419.44189999999,0.0
17939932.19,243972.08,1732781.97,4326549.28,253961.4,0.0
18426577.63,298300.14,2691860.85,0.0,242692.78,0.0
18426577.63,872880.2325,3526337.7134999996,0.0,242654.4096,0.0
14296869.78,644393.6576,1542128.8608000001,3349717.8521999996,157354.34490000003,0.0
14296869.78,640128.9488,1510644.6432,3312304.7712,157354.34490000003,0.0
14296869.78,644393.6576,1324155.2824,2931003.2214,157354.34490000003,0.0
14296869.78,640128.9488,1297121.2296,2898266.7744000005,157354.34490000003,0.0
3868683.94,75542.5856,205173.472,371421.65780000004,92500.056,0.0
3660269.09,245715.3202,397561.34079999995,0.0,71163.2766,0.0
16092682.98,739721.9079999999,7006033.555300001,0.0,142933.8884,0.0
11765881.04,76501.1856,2273143.6547999997,0.0,286498.8525,0.0
11761387.11,510015.16079999995,2285038.9034999995,0.0,111113.0006,0.0
11996863.21,2464540.0507,3048333.3786,0.0,131932.7947,0.0
26186759.94,777748.2000000001,8553386.932999998,0.0,26249.978300000002,0.0
10862688.3,590169.9042,1151863.6394,1637180.469,65076.939999999995,0.0
46481067.07,2213752.58,4084067.4,9317275.45,729053.2824,0.0
4924058.92,119849.47679999999,1188202.736,0.0,77805.0,0.0
9184048.94,306935.889,1998264.7875,0.0,119952.22499999999,0.0
16461811.0,1427333.6,4022159.4399999995,0.0,80035.84,0.0
38845165.0,1709447.42,3483058.5,5213673.99,8302.2,0.0
23686235.62,1621484.9028,1666026.8752000001,1844452.0704,239770.88,0.0
9944999.11,996555.702,1677397.05,0.0,19211.2,0.0
14915000.0,957600.0,1478900.0,3374340.0,324760.0,0.0
39202994.03,2086589.61,10278863.226,0.0,535056.9,0.0
21233360.79,1965829.8565999998,870328.0508999999,2323294.2184,150897.618,0.0
3444309.0,94447.63799999999,911987.4225,0.0,27352.08,0.0
9671400.0,807875.0,1014846.0,1480951.0,37260.0,0.0
24128750.0,857142.0,1417282.5,2007929.0,11536.0,0.0
10629229.8,450910.06019999995,2536352.2613,0.0,233280.3002,0.0
11442537.6,394790.48319999996,619855.5617,1685003.9034999998,195935.22,0.0
28337380.67,713877.6744,5310357.9568,0.0,223185.93009999997,0.0
8451679.65,216280.04,1469720.8201,0.0,159792.3,0.0
13979500.0,796031.4,2613745.5436,0.0,119333.5,0.0
5949900.0,405979.64999999997,977374.4999999999,435925.0,106963.92,0.0
5961565.59,406270.08,1013286.6,432512.5,111006.36,0.0
5948888.0,405205.17,1011087.8999999999,434043.75,98070.20999999999,0.0
9746839.41,696360.8106,1461409.0725000002,0.0,53068.208000000006,0.0
39378915.66,3793412.1456,1957301.5161000001,5296328.5156,649891.68,0.0
19199166.94,1083887.6194,1732524.348,1918278.39,185001.39860000001,0.0
29466330.56,1338578.7142,2895104.701,7574979.028000001,200386.635,0.0
14848582.15,1081392.0,1219300.9400000002,2182461.1380000003,176022.0,0.0
18407495.54,1353850.7136000001,1484453.8125,2500933.8465,303423.66,0.0
11370123.47,422505.072,2286064.484,0.0,0.0,0.0
5543607.28,29835.1872,63877.836,0.0,23412.45,0.0
4010862.85,1841754.8851,3043270.3092000005,3435255.765,217054.6896,0.0
11842000.0,915000.0,870011.5424,1499952.1319999998,169998.8374,0.0
52921088.86,3158560.46,3934860.579,8970410.91,255782.74349999998,0.0
46778280.56,2767810.5,3758849.64,8371035.75,955523.1412,0.0
15435664.91,1828878.4799999997,1707696.4275,1849459.8111000003,113642.8224,0.0
28962172.55,1445025.6957999999,3949099.8644999997,0.0,175470.284,0.0
14859476.05,1136746.6800000002,2049556.3325999998,2026117.6926,165992.3424,0.0
15500399.65,1108661.4570000002,1741781.9581999998,1832702.1269,157585.3644,0.0
5850335.9,422602.1312,1197744.9872,0.0,89411.2212,0.0
18740697.35,1446692.6415000001,1903621.6832,0.0,167881.58899999998,0.0
10979055.79,665830.1884,1322103.8412000001,0.0,103689.0683,0.0
39696137.55,1677135.4776,1547212.32,5598790.89,580323.9763999999,0.0
14604194.55,1183031.4300000002,1374201.78,2352633.12,164788.77,0.0
15514088.25,562606.7200000001,983989.3116,1339372.5921,94132.09520000001,0.0
15514440.95,1291491.396,1050912.72,2868576.36,164855.7792,0.0
9611535.48,292830.5896,688873.64,923341.3200000001,114078.86000000002,0.0
9651558.77,195737.172,1053889.2952,798177.2744,68637.90780000002,0.0
9687517.65,145628.68480000002,706623.76,869246.576,139598.82580000002,0.0
9718956.84,98815.3784,602373.9188000001,741844.1272000001,162276.48780000003,0.0
9930171.7,301480.4392,1040118.0,1257796.0648,154567.18760000003,0.0
4915295.55,244593.8,1086905.98,0.0,80550.0,0.0
4948168.58,241672.07679999998,810975.4147000001,0.0,89915.28,0.0
