,Year/Budget,Architectural aspect,Quantity of plaster (sq.m.),Quantity of glazed tiles (sq.m.),Painting masonry (sq.m.),painting wood (sq.m.),painting metal (sq.m.),Area of CHB 100mm (sq.m.),Area of CHB 150mm (sq.m.)
"Project 1: 4 STY 8 CL Malolos, Bulacan","2017: 12,723,976.07",unit cost,145.000,"1,350.000",152.000,181.000,175.000,581.000,596.000
"Project 6: 2 STY 12 CL Trento, Agusan del Sur",2018: 27539557.48,unit cost,188.230,"1,806.090",342.420,285.350,325.460,"1,662.160","1,322.190"
"Project 10: 2 STY 10 CL Sagbayan, Bohol","20//: 20,622,505.73",unit cost,162.500,"1,592.000",232.000,156.000,284.000,720.000,"1,179.000"
"Project 11: 2 STY 2 CL Santa Maria, Bulacan","2024: 9,845,122.86",unit cost,234.330,"2,273.730",486.650,445.820,433.250,720.000,"1,179.000"
"Project 12: 1 STY 2 CL Caba, La Union","2024: 9,845,122.86",unit cost,232.000,-,425.000,400.000,532.000,842.000,"1,220.000"
Project 13: 3 STY 15 CL Davao,"2018: 42,652,727.59",unit cost,223.000,"1,518.000",302.000,409.000,388.000,659.000,"1,031.000"
"Project 14: 3 STY 15 CL Dapitan, Zamboanga del Norte","2017: 12,976,092.09",unit cost,109.640,"1,293.890",115.220,114.920,114.420,867.010,"1,005.230"
"Project 15: 1 STY 2 CL Virac, Catamduanes","2017: 2,692,467.18",unit cost,242.670,0.000,240.380,0.000,0.000,"1,132.360",0.000
"Project 16: 2 STY 4 CL IGACOS, Davao del Norte","2018: 9,581,051.78",unit cost,0.000,"2,908.740",175.800,204.430,429.810,"2,323.030",752.060
"Project 18: 1 STY 1 CL Tandag City, Surigao del Sur","2018: 3,373,734.87",unit cost,222.700,"1,651.430",339.700,298.640,337.280,"1,100.930","1,641.580"
"Project 19: 4 STY 8 CL Tandag City, Surigao del Sur","2024: 24,603,184.34",unit cost,233.540,"1,565.890",347.190,407.540,459.830,"1,079.000","1,526.130"
Project 22: 2 STY 6 CL Misamis Oriental ,"2023: 22,565,635.92",unit cost,353.230,"1,987.710",342.190,"1,157.000",338.690,"2,137.050","2,439.930"
Project 23: 1 STY 2 CL Misamis Oriental ,"2024: 6,732,123.10",unit cost,328.820,"1,815.960",369.340,394.680,264.040,"1,196.200","1,259.820"
"Project 26: 1 STY 2 CL Las Navas, Northern Samar","2024: 5,967,992.82",unit cost,350.730,919.960,443.060,352.090,478.860,-,"1,767.910"
Project 27: 4 STY 12 CL Consolacion Cebu,"2024: 24,782,396.29",unit cost,273.560,"2,206.790",407.350,455.440,449.780,-,"1,440.970"
"Project 29: 1 STY 2 CL Canlaon, Negros Oriental W/ CR","2024: 5,456,718.16",unit cost,"1,226.130",-,501.300,262.510,159.990,-,"1,313.180"
Project 31: 2 STY 12 CL Magallanes Sorsogon ,"2024: 62,332,762.35",unit cost,258.300,"2,113.190",434.480,378.090,539.020,897.970,"1,473.010"
Project 32: 2 STY 12 CL Casiguran Sorsogon ,"2024: 62,172,175.91",unit cost,257.000,"2,092.000",430.000,346.000,478.000,878.000,"1,439.000"
Project 33: 2 STY 4 CL Bacacy/Malilipot Albay,"2024: 38,605,670.21",unit cost,239.530,"2,179.350",402.050,-,496.160,890.210,"1,317.640"
Project 34: 1 STY 2 CL Dasol Pangasinan,"2024: 5,853,469.15",unit cost,253.780,"2,174.210",392.400,405.990,394.430,841.890,"1,269.880"
Project 35: 4 STY 16 CL Dasol Pangasinan,"2024: 47,846,905.84",unit cost,238.280,"2,099.710",386.440,438.510,407.010,805.730,"1,250.820"
"Project 36: 4 STY 12 CL San Nicolas, Ilocos Norte","2024: 39,394,161.38",unit cost,167.690,"1,430.750",167.690,264.040,173.570,797.060,771.260
"Project 37: 2 STY 8 CL Guinobatan, Albay","2024: 35,733,936.48",unit cost,226.770,"2,046.000",370.030,398.040,394.360,844.450,"1,269.690"
Project 38: 2 STY 6 CL Alangalang Leyte,"2023: 16,377,168.67",unit cost,160.730,"1,428.180",188.340,304.230,297.830,"2,204.640","1,488.310"
"Project 39: 1 STY 2 CL Sipalay, Negros Occidental ","2023: 4,992,477.72",unit cost,350.570,525.860,438.210,525.860,438.210,438.210,438.210
"Project 40: 2 STY 4 CL Pilar, Sorsogon ","2023: 17,939,932.19",unit cost,291.000,"1,425.000",208.000,262.000,248.000,"1,636.000","1,824.000"
"Project 40: 2 STY 4 CL Pilar, Sorsogon ","2023: 17,939,815.37",unit cost,291.000,"1,425.000",208.000,262.000,248.000,"1,636.000","1,824.000"
"Project 41: 2 STY 4 CL Panganiban, Camarines Norte ","2023: 18,426,577.63",unit cost,225.210,"2,062.040",339.290,331.610,433.690,"1,178.590","1,803.910"
"Projec 45: 2 STY 4 CL Guinlajon, Sorsogon CIty","2020: 14,296,869.78",unit cost,218.210,"2,022.570",362.760,323.740,402.580,818.440,"1,243.490"
"Projec 45: 2 STY 4 CL Guinlajon, Sorsogon CIty","2020: 12,681,800.48",unit cost,218.210,"1,951.250",358.860,321.780,404.440,818.440,"1,242.660"
"Project 47: 1 STY 2 CL, Palo Leyte","2018: 3,868,683.94",unit cost,369.030,716.340,128.170,899.610,371.110,,"2,864.030"
"Project 49: 1 STY 2 CL Tinglayan, Kalinga","2018: 3,660,269.09",unit cost,209.520,"1,243.530",289.870,325.980,278.650,"1,162.410",
Project 50: 2 STY 8 CL Iligan City,"2017: 16,092,682.98",unit cost,119.250,392.710,22.130,76.150,159.320,513.740,"1,228.120"
"Project 51: 2 STY 6 CL Tubod, Lanao del Norte","2017: 11,765,881.04",unit cost,139.660,"1,327.090",394.850,124.460,231.630,"1,150.560","1,197.270"
"Project 52: 2 STY 6 CL Baroy, Lanao del Norte","2017: 11,761,387.11",unit cost,169.800,684.830,65.610,105.070,190.340,"1,073.070",915.750
"Project 53: 2 STY 6 CL San Juan, Siquijor","2017: 11,996,863.21",unit cost,167.380,"1,026.660",54.060,86.580,136.930,"1,214.110","1,293.410"
"Project 56: 4 STY 8 CL Lipa City, Batangas","2017: 17,061,708",unit cost,"1,307.000","2,167.000","2,274.000",425.000,237.000,256.000,569.000
"Project 57: 4 STY 16 CL Mandaue City, Cebu","2017: 26,186,759.94",unit cost,295.720,"1,229.650",,180.650,151.600,563.870,831.800
Project 60: 2 STY 4 CL Vigan Ilocos Sur,"2019: 10,862,688.30",unit cost,190.670,"1,776.510",311.150,266.430,320.860,692.820,"1,067.710"
"Project 63: 4 STY 20 CL Belison, Antique","2020: 46,481,067.07",unit cost,208.530,"1,050.110",337.590,285.260,275.410,"1,103.230","1,170.630"
"Project 64: 3 STY 9 CL San, Joquin, Iloilo","2018: 14,804,621.77",unit cost,329.060,"1,974.340",,,,889.510,"1,063.720"
"Project 66: 1 STY 2 CL Tandag City, Surigao Del Sur","2024: 4,924,058.92",unit cost,252.780,"1,631.490",351.020,298.370,352.370,"1,223.990","1,692.770"
"Project 67: 3 sty 12 cl sIPALAY ciTY, nEGROS oCCIDENTAL","2018: 30,144,572.16",unit cost,253.790,"1,605.590",299.110,258.230,234.170,915.000,"1,369.830"
Project 73: 1 STY 3 CL NABAS AKLAN,"2023: 9,184,048.94",unit cost,373.930,"1,998.820",333.590,536.690,99.300,"1,933.420","1,308.190"
Project 74: 3 STY 6 CL CEBU CITY,"2018:16,461,811",unit cost,128.000,"1,799.000",231.000,250.000,283.000,"1,022.000","1,435.000"
Project 76: 4 STY 8 CL SANTA ROSA LAGUNA,"2018: 38,845,165",unit cost,257.210,"2,357.410",408.590,498.030,484.330,873.920,"1,227.590"
Project 77: 2 STY 6 CL SANTA MARIA BULACAN,"2024: 23,686,235.62",unit cost,233.590,"2,266.530",485.110,444.410,431.880,553.980,851.900
Project 78: 1STY 4 CL PATIKUL SULU,"20//: 9,944,999.11",unit cost,212.600,"1,479.600",219.500,421.500,419.300,835.800,"1,339.200"
Project 79: 4 STY 8 CL CEBU CITY,"2024: 14,915,000.00",unit cost,300.000,"2,300.000",400.000,,,"1,100.000","1,600.000"
Project 81: 4 STY 12 CL ANTIPOLO RIZAL,"2024: 39,202,994.03",unit cost,268.500,,454.990,558.740,565.180,910.320,"1,328.250"
Project 82: 4 STY 8 CL SAN JOSE DEL MONTE BULACAN,"2024: 21,233,360.79",unit cost,175.050,"1,698.520",363.540,333.030,,638.400,909.710
"Project83: 1 STY 1 CL TANDAG CITY, SURIGAO DEL SUR","2024: 3,444,309",unit cost,236.490,"1,636.530",341.490,298.640,337.280,"1,135.020","1,641.580"
Project 84: 2 STY 4 CL NAGCARLAN LAGUNA,"2024: 9,671,400.00",unit cost,220.000,"2,100.000",,,378.000,825.000,"1,189.000"
Project 85:  2X4 SAN JOSE BATANGAS,"2024: 24,128,750.00",unit cost,261.000,"2,257.000",387.000,435.000,450.000,850.000,"1,293.000"
"Project 86 1x5 La paz, zamboanga","2023: 10,629,229.80",unit cost,276.970,"1,409.200",348.220,329.680,444.060,991.850,"1,492.730"
Project 87:1x4 Nueva Valencia Guimaas,"2023: 11,442,537.60",unit cost,361.800,"2,105.630",392.270,372.450,409.420,,"1,727.290"
Project 88: 2x4 San Miguel Catanduanes,"2023: 28,337,380.67
",unit cost,252.890,"1,308.960",335.280,325.290,434.540,"1,029.960","1,410.890"
Project 88: 2x4 San Miguel Catanduanes,"2023: 28,337,380.67
",unit cost,252.890,"1,308.960",335.280,325.290,434.540,"1,029.960","1,410.890"
"Project 90: 2x2 sibunag, guimaras","2018: 8,451,679.65",unit cost,222.880,"1,546.990",276.040,226.930,328.350,931.870,"1,311.470"
"Project 91: 4x12 Lucena, QUezon Province","2018: 34,993,788.33",unit cost,206.650,"1,857.210",370.710,309.150,311.900,716.270,"1,088.910"
"Project 95: 2x4 SIpalay City, Negros Occidnetal","2024: 13,979,500.00",unit cost,284.660,"2,750.000",650.000,450.000,375.000,650.000,750.000
"Project 96: 1x2 Lapining, Northern Samar","2024: 5,949,900.00",unit cost,343.170,"1,928.640",445.030,363.610,492.510,,"1,776.570"
"Project 97:  1x2 Las Navas, Northern Samar","2024: 5,961,565.59",unit cost,355.130,,445.480,362.600,491.070,,"1,779.710"
"Project 98: Pambujan, Northern Samar","2024: 5,948,888.00",unit cost,318.990,"1,970.830",445.290,362.830,491.960,,"1,710.520"
Project 99: 2x2 MaLOLOS Bulacan,"2024: 9,746,839.41",unit cost,258.450,,,,,949.390,"1,368.570"
"Project 100: 4x12 Meycuayan, Bulacan","2024: 39,378,915.66",unit cost,234.320,"2,273.190",486.540,445.710,435.150,854.400,"1,217.490"
"Project 101: 2x4 taay, rizal","2023: 19,199,166.94",unit cost,243.250,"2,069.180",377.860,353.990,432.950,833.980,"1,225.900"
Project 103: 3x9 San Luis Aurora,"2023: 29,466,330.56",unit cost,216.410,"1,995.760",382.880,361.750,437.820,792.500,"1,208.670"
Project 105: 2x4 BAcong Negros Oriental,"2023: 14,848,582.15",unit cost,259.510,"2,205.000",326.650,327.600,400.050,"1,264.980","1,446.580"
