,Year/Budget,Architectural aspect,Quantity of plaster (sq.m.),Quantity of glazed tiles (sq.m.),Painting masonry (sq.m.),painting wood (sq.m.),painting metal (sq.m.),Area of CHB 100mm (sq.m.),Area of CHB 150mm (sq.m.)
"Project 1: 4 STY 8 CL Malolos, Bulacan","2017: 12,723,976.07",quantity ,"2,489.930",103.360,"2,489.930",341.280,34.380,222.270,738.070
"Project 6: 2 STY 12 CL Trento, Agusan del Sur",2018: 27539557.48,quantity ,"3,096.000",207.100,"3,096.000","1,390.400",120.000,429.400,"1,118.600"
"Project 10: 2 STY 10 CL Sagbayan, Bohol","20//: 20,622,505.73",quantity ,"3,825.210",115.510,"4,336.180",218.610,112.500,171.640,819.110
"Project 11: 2 STY 2 CL Santa Maria, Bulacan","2024: 9,845,122.86",quantity ,"1,268.580",24.000,763.320,8.640,87.630,171.640,819.110
"Project 12: 1 STY 2 CL Caba, La Union","2024: 9,845,122.86",quantity ,396.470,0.000,608.080,17.280,437.380,34.680,163.550
Project 13: 3 STY 15 CL Davao,"2018: 42,652,727.59",quantity ,"6,841.580",250.380,"8,223.140",273.000,149.460,430.640,"1,782.050"
"Project 14: 3 STY 15 CL Dapitan, Zamboanga del Norte","2017: 12,976,092.09",quantity ,"6,109.830",240.650,"4,609.520",280.000,220.000,416.100,"2,313.650"
"Project 15: 1 STY 2 CL Virac, Catamduanes","2017: 2,692,467.18",quantity ,332.100,0.000,824.930,0.000,0.000,144.170,0.000
"Project 16: 2 STY 4 CL IGACOS, Davao del Norte","2018: 9,581,051.78",quantity ,0.000,30.000,"1,360.070",115.200,50.140,29.500,508.090
"Project 18: 1 STY 1 CL Tandag City, Surigao del Sur","2018: 3,373,734.87",quantity ,265.020,24.380,399.680,21.030,173.830,29.030,124.110
"Project 19: 4 STY 8 CL Tandag City, Surigao del Sur","2024: 24,603,184.34",quantity ,"1,080.120",100.580,"1,378.430",37.830,416.510,106.900,510.310
Project 22: 2 STY 6 CL Misamis Oriental ,"2023: 22,565,635.92",quantity ,"2,949.630",53.580,"3,266.340",76.020,941.360,249.800,536.250
Project 23: 1 STY 2 CL Misamis Oriental ,"2024: 6,732,123.10",quantity ,501.400,12.870,721.000,45.500,244.440,17.650,233.050
"Project 26: 1 STY 2 CL Las Navas, Northern Samar","2024: 5,967,992.82",quantity ,406.000,6.000,513.000,42.000,25.000,0.000,203.000
Project 27: 4 STY 12 CL Consolacion Cebu,"2024: 24,782,396.29",quantity ,"2,033.080",105.520,"2,292.920",98.280,100.360,0.000,739.410
"Project 29: 1 STY 2 CL Canlaon, Negros Oriental W/ CR","2024: 5,456,718.16",quantity ,293.960,0.000,451.940,41.460,29.030,0.000,111.520
Project 31: 2 STY 12 CL Magallanes Sorsogon ,"2024: 62,332,762.35",quantity ,"6,207.680",410.520,"6,207.680",843.060,168.870,494.010,"1,555.140"
Project 32: 2 STY 12 CL Casiguran Sorsogon ,"2024: 62,172,175.91",quantity ,"6,207.680",410.520,"6,207.680",843.060,168.870,494.010,"1,555.140"
Project 33: 2 STY 4 CL Bacacy/Malilipot Albay,"2024: 38,605,670.21",quantity ,"2,373.530",435.270,"2,373.530",0.000,"1,078.650",66.740,549.280
Project 34: 1 STY 2 CL Dasol Pangasinan,"2024: 5,853,469.15",quantity ,519.390,126.000,418.910,247.660,298.610,36.580,259.500
Project 35: 4 STY 16 CL Dasol Pangasinan,"2024: 47,846,905.84",quantity ,"3,707.430",283.810,"7,445.860",540.390,"1,077.850",184.350,"1,733.440"
"Project 36: 4 STY 12 CL San Nicolas, Ilocos Norte","2024: 39,394,161.38",quantity ,"2,831.790",463.220,"2,813.790",705.840,490.960,229.700,"1,194.440"
"Project 37: 2 STY 8 CL Guinobatan, Albay","2024: 35,733,936.48",quantity ,"3,993.020",189.160,"4,938.030",193.920,"1,463.730",725.770,639.970
