Year,Budget,Quantity of plaster (sq.m.),Quantity of glazed tiles (sq.m.),Painting masonry (sq.m.),painting wood (sq.m.),painting metal (sq.m.),Area of CHB 100mm (sq.m.),Area of CHB 150mm (sq.m.)
2017,12723976.07,361039.85,139536.0,378469.36,61771.67999999999,6016.5,129138.87000000001,439889.72000000003
2000,20622505.73,621596.625,183891.92,1005993.76,34103.16,31950.0,123580.79999999999,965730.6900000001
2024,9845122.86,297266.3514,54569.520000000004,371469.678,3851.8848000000003,37965.697499999995,123580.79999999999,965730.6900000001
2024,9845122.86,91981.04000000001,0.0,258434.00000000003,6912.0,232686.16,29200.56,199531.0
2018,42652727.59,1525672.34,380076.83999999997,2483388.28,111657.0,57990.48,283791.76,1837293.55
2017,12976092.09,669881.7612,311374.62850000005,531108.8944,32177.600000000002,25172.4,360762.86100000003,2325750.3895
2017,2692467.18,80590.707,0.0,198296.67339999997,0.0,0.0,163252.34119999997,0.0
2018,9581051.78,0.0,87262.2,239100.306,23550.336000000003,21550.6734,68529.38500000001,382114.16539999994
2018,3373734.87,59019.95399999999,40261.8634,135771.296,6280.3992,58629.3824,31959.997900000002,203736.4938
2024,24603184.34,252251.22479999997,157497.2162,478577.1117,15417.2382,191523.7933,115345.1,778799.4003000001
2023,22565635.92,1041897.8049000001,106501.5018,1117708.8846,87955.14,318829.2184,533835.0900000001,1308412.4625
2024,6732123.1,164870.348,23371.405199999997,266294.13999999996,17957.94,64541.937600000005,21112.93,293601.051
2024,5967992.82,142396.38,5519.76,227289.78,14787.779999999999,11971.5,0.0,358885.73000000004
2024,24782396.29,556169.3648,232860.4808,934020.962,44760.6432,45139.9208,0.0,1065467.6277
2024,5456718.16,360433.1748,0.0,226557.522,10883.6646,4644.5097000000005,0.0,146445.8336
2024,62332762.35,1603443.7440000002,867506.7588,2697112.8064,318752.55539999995,91024.3074,443606.1597,2290736.7714
2024,62172175.91,1595373.76,858807.84,2669302.4,291698.76,80719.86,433740.77999999997,2237846.46
2024,38605670.21,568531.6409,948605.6745,954277.7365000001,0.0,535182.984,59412.615399999995,723753.2992
2024,5853469.15,131810.7942,273950.46,164380.284,100547.4834,117780.74230000001,30796.336199999998,329533.86000000004
2024,47846905.84,883406.4204,595918.6951,2877378.1384,236966.4189,438695.72849999997,148536.3255,2168221.4208
2024,39394161.38,474862.8651,662752.015,471844.4451,186369.99360000002,85215.92719999999,183084.68199999997,921223.7944
2024,35733936.48,905497.1454,387021.36,1827219.2408999999,77187.91679999999,577236.5628000001,612876.4765,812563.5093
2023,16377168.67,265548.4622,110941.02240000002,375888.972,55567.609500000006,49639.32609999999,90588.6576,732695.013
2023,4992477.72,233241.2324,14923.9068,375239.22299999994,7951.0032,130696.13249999999,8203.2912,85897.9242
2023,17939932.19,562855.11,151805.25,458016.0,34995.34,24869.44,296770.4,698810.88
2023,18426577.63,407562.537,212946.87079999998,614013.113,125855.9433,23666.4633,35216.269199999995,901846.7654
2020,14296869.78,389116.4362,144714.8835,706242.9336,33827.592599999996,20185.3612,106323.5404,681407.6502
2020,14296869.78,389116.4362,139611.9375,698650.1796,33622.792199999996,20278.6216,106323.5404,497039.14680000005
2018,3868683.94,155638.4025,16046.016,77150.6498,55667.8668,6728.2243,0.0,383379.0558000001
2018,3660269.09,338087.7576,22383.54,133148.8858,13515.1308,8897.2945,180917.4924,0.0
2017,16092682.98,392881.05,65264.474899999994,82537.3758,14455.554500000002,15917.661199999999,128702.14480000001,914458.152
2017,11765881.04,323149.49779999995,126471.67699999998,1014511.7960000001,19000.063599999998,16846.4499,95530.9968,712854.558
2017,11761387.11,392888.33400000003,65264.299,168575.7096,16039.9862,13843.4282,89097.0021,545237.5499999999
2017,11996863.21,398084.87539999996,73457.523,138064.3746,11538.5166,8589.6189,183391.3155,713043.9989
2017,17061708.0,1708249.0,370557.0,5171076.0,180625.0,56169.0,65536.0,323761.0
2017,26186759.94,2051270.6516000002,309994.765,0.0,71956.508,13675.836,256955.559,964056.2
